,year,team,league,total_transfers_in,total_transfer_out,total_spend,total_earned,average_fee_spend,average_fee_earned,max_fee_spend,min_fee_spend,avg_season_spi,most_purchased_position,position_max_spend,position_min_spend,avg_spend_striker,avg_spend_centre_back,avg_spend_centre_mid,avg_spend_goalkeeper,avg_spend_left_winger,avg_spend_right_winger,avg_spend_def_midfield,avg_spend_left_back,avg_spend_right_back,avg_spend_att_midfield
296,2018,CD Feirense,Portuguese Liga,25,26,0.248,6.48,0.00992,0.24923076923076926,0.18,6.48,37.24,Left Winger,Central Midfield,Right-Back,0.06,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,2018,CD Leganés,Spanish La Liga,30,27,16.83,20.7,0.5609999999999999,0.7666666666666666,5.4,13.5,74.52000000000001,Striker,Left-Back,Striker,0.7875000000000001,0.1875,0.8325,0.0,2.25,0.0,0.0,1.215,0.135,0.27
298,2018,CD Nacional,Portuguese Liga,20,20,2.43,0.0,0.12150000000000001,0.0,1.35,0.0,41.18,Centre-Back,Right Winger,Centre-Back,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,1.08
299,2018,CD Santa Clara,Portuguese Liga,29,27,0.0,1.427,0.0,0.05285185185185185,0.0,1.35,42.300000000000004,Striker,Left Winger,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,2018,CD Tondela,Portuguese Liga,22,23,0.0,2.25,0.0,0.09782608695652174,0.0,1.8,40.34999999999999,Striker,Centre-Back,Left Winger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,2018,CS Marítimo,Portuguese Liga,18,21,0.0,0.0,0.0,0.0,0.0,0.0,39.119999999999976,Striker,Left Winger,Left Winger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,2018,CSKA Moscow,Russian Premier Liga,21,15,11.151000000000002,37.8,0.531,2.52,3.6,27.0,70.76000000000003,Striker,Attacking Midfield,Right Winger,0.14657142857142857,0.64125,1.8,0.0,0.0,0.0,0.18,0.0,0.0,1.8
303,2018,Cagliari Calcio,Italian Serie A,17,30,20.248,6.488999999999999,1.1910588235294117,0.21629999999999996,5.31,2.25,58.34000000000003,Centre-Back,Central Midfield,Striker,0.45,0.9940000000000001,5.31,0.248,0.0,3.15,1.7699999999999998,0.0,0.045,0.27
304,2018,Cardiff City,English Premier League,18,18,46.09,0.0,2.5605555555555557,0.0,15.3,0.0,58.42000000000001,Striker,Striker,Striker,2.835555555555556,0.0,0.7775,3.6,10.26,0.0,0.0,3.6,0.0,0.0
305,2018,Celta de Vigo,Spanish La Liga,23,18,26.549999999999997,31.32,1.1543478260869564,1.74,7.2,9.0,70.17,Striker,Striker,Centre-Back,0.63,1.575,5.85,0.0,0.0,0.0,5.4,0.0,0.0,0.0
306,2018,Chelsea FC,English Premier League,26,29,187.92000000000002,65.03,7.227692307692308,2.2424137931034482,72.0,31.5,85.58,Centre-Back,Goalkeeper,Goalkeeper,1.755,0.0,0.0,24.0,19.2,0.0,51.3,0.0,0.0,0.0
